,product_code,state,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,market_bid_size,market_ask_size,ltp,volume,volume_by_product,datetime
268180,ETH_JPY,RUNNING,2022-02-23T21:30:32.98,37497108.0,302800.0,302919.0,0.1,0.5,4023.2790796,2515.0773246,0.0,0.0,302896.0,13901.0457626,13901.0457626,2022-02-23 21:30:32.980000+00:00
268181,ETH_JPY,RUNNING,2022-02-23T21:30:34.253,37497112.0,302800.0,302962.0,0.1,1.07,4016.5940796,2506.8523246,0.0,0.0,302896.0,13901.0357626,13901.0357626,2022-02-23 21:30:34.253000+00:00
268182,ETH_JPY,RUNNING,2022-02-23T21:30:34.403,37497113.0,302800.0,302962.0,0.1,0.97,4016.5940796,2506.7523246,0.0,0.0,302962.0,13901.1357626,13901.1357626,2022-02-23 21:30:34.403000+00:00
268183,ETH_JPY,RUNNING,2022-02-23T21:30:34.403,37497113.0,302800.0,302962.0,0.1,0.97,4016.5940796,2506.7523246,0.0,0.0,302962.0,13901.1357626,13901.1357626,2022-02-23 21:30:34.403000+00:00
268185,ETH_JPY,RUNNING,2022-02-23T21:30:35.81,37497115.0,302800.0,302962.0,0.1,0.97,4023.2790796,2513.4373246,0.0,0.0,302962.0,13901.1357626,13901.1357626,2022-02-23 21:30:35.810000+00:00
268184,ETH_JPY,RUNNING,2022-02-23T21:30:35.81,37497115.0,302800.0,302962.0,0.1,0.97,4023.2790796,2513.4373246,0.0,0.0,302962.0,13901.1357626,13901.1357626,2022-02-23 21:30:35.810000+00:00
268186,ETH_JPY,RUNNING,2022-02-23T21:30:36.473,37497120.0,302730.0,302962.0,0.13,0.97,4016.3240796,2506.7523246,0.0,0.0,302730.0,13901.4057626,13901.4057626,2022-02-23 21:30:36.473000+00:00
268187,ETH_JPY,RUNNING,2022-02-23T21:30:37.903,37497124.0,302730.0,302962.0,0.13,0.97,4022.9020488,2513.4373246,0.0,0.0,302730.0,13901.4057626,13901.4057626,2022-02-23 21:30:37.903000+00:00
268188,ETH_JPY,RUNNING,2022-02-23T21:30:38.17,37497127.0,302730.0,302962.0,0.13,0.96,4022.6720488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:38.170000+00:00
268189,ETH_JPY,RUNNING,2022-02-23T21:30:38.17,37497127.0,302730.0,302962.0,0.13,0.96,4022.6720488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:38.170000+00:00
268190,ETH_JPY,RUNNING,2022-02-23T21:30:39.2,37497129.0,302730.0,302962.0,0.13,0.96,4015.9870488,2506.7423246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:39.200000+00:00
268191,ETH_JPY,RUNNING,2022-02-23T21:30:39.85,37497132.0,302730.0,302962.0,0.13,0.96,4022.5720488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:39.850000+00:00
268192,ETH_JPY,RUNNING,2022-02-23T21:30:40.403,37497134.0,302730.0,302962.0,0.13,0.96,4022.5720488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:40.403000+00:00
268193,ETH_JPY,RUNNING,2022-02-23T21:30:41.46,37497137.0,302730.0,302962.0,0.13,0.96,4022.5720488,2525.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:41.460000+00:00
268194,ETH_JPY,RUNNING,2022-02-23T21:30:41.46,37497137.0,302730.0,302962.0,0.13,0.96,4022.5720488,2525.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:41.460000+00:00
268195,ETH_JPY,RUNNING,2022-02-23T21:30:42.26,37497145.0,302730.0,302962.0,0.13,0.96,4022.5720488,2525.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:42.260000+00:00
268196,ETH_JPY,RUNNING,2022-02-23T21:30:43.66,37497156.0,302730.0,302962.0,0.55,0.96,4022.9920488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:43.660000+00:00
268197,ETH_JPY,RUNNING,2022-02-23T21:30:43.66,37497156.0,302730.0,302962.0,0.55,0.96,4022.9920488,2513.4273246,0.0,0.0,302962.0,13901.4157626,13901.4157626,2022-02-23 21:30:43.660000+00:00
268198,ETH_JPY,RUNNING,2022-02-23T21:30:44.333,37497161.0,302730.0,302962.0,0.55,0.96,4022.9820488,2513.4273246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:44.333000+00:00
268199,ETH_JPY,RUNNING,2022-02-23T21:30:44.837,37497166.0,302730.0,302984.0,0.55,0.064,4022.9820488,2512.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:44.837000+00:00
268201,ETH_JPY,RUNNING,2022-02-23T21:30:46,37497177.0,302731.0,302984.0,0.15,0.064,4023.1320488,2512.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:46+00:00
268202,ETH_JPY,RUNNING,2022-02-23T21:30:46,37497177.0,302731.0,302984.0,0.15,0.064,4023.1320488,2512.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:46+00:00
268200,ETH_JPY,RUNNING,2022-02-23T21:30:46,37497177.0,302731.0,302984.0,0.15,0.064,4023.1320488,2512.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:46+00:00
268203,ETH_JPY,RUNNING,2022-02-23T21:30:47.62,37497181.0,302731.0,302984.0,0.15,0.064,4023.1320488,2512.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:47.620000+00:00
268204,ETH_JPY,RUNNING,2022-02-23T21:30:47.95,37497184.0,302731.0,302960.0,0.15,6.685,4023.1320488,2524.4673246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:47.950000+00:00
268205,ETH_JPY,RUNNING,2022-02-23T21:30:49.017,37497197.0,302731.0,302984.0,0.15,0.064,4023.1320488,2497.7823246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:49.017000+00:00
268206,ETH_JPY,RUNNING,2022-02-23T21:30:49.277,37497200.0,302731.0,302984.0,0.15,0.064,4023.1220488,2497.7823246,0.0,0.0,302962.0,13901.4057626,13901.4057626,2022-02-23 21:30:49.277000+00:00
268207,ETH_JPY,RUNNING,2022-02-23T21:30:49.83,37497213.0,302731.0,302984.0,0.14,0.064,4022.3758186,2503.9450045,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:49.830000+00:00
268208,ETH_JPY,RUNNING,2022-02-23T21:30:51.003,37497227.0,302731.0,302984.0,0.14,0.064,4023.0287041,2504.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:51.003000+00:00
268209,ETH_JPY,RUNNING,2022-02-23T21:30:51.61,37497235.0,302731.0,302984.0,0.14,0.064,4016.3437041,2497.8632152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:51.610000+00:00
268210,ETH_JPY,RUNNING,2022-02-23T21:30:52.727,37497246.0,302731.0,302984.0,0.55,0.064,4023.4387041,2516.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:52.727000+00:00
268211,ETH_JPY,RUNNING,2022-02-23T21:30:53.233,37497253.0,302732.0,302984.0,0.14,0.064,4023.5787041,2516.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:53.233000+00:00
268212,ETH_JPY,RUNNING,2022-02-23T21:30:53.507,37497256.0,302732.0,302984.0,0.14,0.064,4022.9110203,2516.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:53.507000+00:00
268213,ETH_JPY,RUNNING,2022-02-23T21:30:54.383,37497263.0,302732.0,302984.0,0.14,0.064,4023.5787029,2516.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:54.383000+00:00
268214,ETH_JPY,RUNNING,2022-02-23T21:30:54.383,37497263.0,302732.0,302984.0,0.14,0.064,4023.5787029,2516.5482152,0.0,0.0,302731.0,13901.4157626,13901.4157626,2022-02-23 21:30:54.383000+00:00
268215,ETH_JPY,RUNNING,2022-02-23T21:30:55.607,37497271.0,302732.0,302984.0,0.14,0.064,4016.2360203,2509.2600045,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:55.607000+00:00
268216,ETH_JPY,RUNNING,2022-02-23T21:30:55.86,37497273.0,302732.0,302984.0,0.14,0.064,4016.2360203,2509.2600045,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:55.860000+00:00
268217,ETH_JPY,RUNNING,2022-02-23T21:30:56.253,37497282.0,302732.0,302984.0,0.14,0.064,4016.3812355,2497.5798273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:56.253000+00:00
268218,ETH_JPY,RUNNING,2022-02-23T21:30:57.577,37497301.0,302732.0,302984.0,0.14,0.064,4016.3912355,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:57.577000+00:00
268219,ETH_JPY,RUNNING,2022-02-23T21:30:57.577,37497301.0,302732.0,302984.0,0.14,0.064,4016.3912355,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:57.577000+00:00
268220,ETH_JPY,RUNNING,2022-02-23T21:30:58.727,37497310.0,302732.0,302984.0,0.14,0.064,4023.3556915,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:58.727000+00:00
268221,ETH_JPY,RUNNING,2022-02-23T21:30:59.327,37497319.0,302732.0,302984.0,0.14,0.064,4023.3556915,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:59.327000+00:00
268222,ETH_JPY,RUNNING,2022-02-23T21:30:59.327,37497319.0,302732.0,302984.0,0.14,0.064,4023.3556915,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:59.327000+00:00
268223,ETH_JPY,RUNNING,2022-02-23T21:30:59.327,37497319.0,302732.0,302984.0,0.14,0.064,4023.3556915,2510.2648273,0.0,0.0,302731.0,13901.4057626,13901.4057626,2022-02-23 21:30:59.327000+00:00
268224,ETH_JPY,RUNNING,2022-02-23T21:31:01.103,37497329.0,302732.0,302984.0,0.13,0.064,4023.3456915,2511.2648273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:01.103000+00:00
268225,ETH_JPY,RUNNING,2022-02-23T21:31:01.367,37497332.0,302732.0,302984.0,0.13,0.064,4023.3456915,2499.2648273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:01.367000+00:00
268226,ETH_JPY,RUNNING,2022-02-23T21:31:01.367,37497332.0,302732.0,302984.0,0.13,0.064,4023.3456915,2499.2648273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:01.367000+00:00
268227,ETH_JPY,RUNNING,2022-02-23T21:31:02.143,37497333.0,302732.0,302984.0,0.13,0.064,4023.8956915,2499.2648273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:02.143000+00:00
268228,ETH_JPY,RUNNING,2022-02-23T21:31:02.143,37497333.0,302732.0,302984.0,0.13,0.064,4023.8956915,2499.2648273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:02.143000+00:00
268229,ETH_JPY,RUNNING,2022-02-23T21:31:03.677,37497334.0,302732.0,302962.0,0.13,1.09,4023.8956915,2500.3548273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:03.677000+00:00
268230,ETH_JPY,RUNNING,2022-02-23T21:31:03.677,37497334.0,302732.0,302962.0,0.13,1.09,4023.8956915,2500.3548273,0.0,0.0,302732.0,13901.4157626,13901.4157626,2022-02-23 21:31:03.677000+00:00
268231,ETH_JPY,RUNNING,2022-02-23T21:31:05.433,37497340.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.4057626,13901.4057626,2022-02-23 21:31:05.433000+00:00
268232,ETH_JPY,RUNNING,2022-02-23T21:31:05.433,37497340.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.4057626,13901.4057626,2022-02-23 21:31:05.433000+00:00
268233,ETH_JPY,RUNNING,2022-02-23T21:31:05.433,37497340.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.4057626,13901.4057626,2022-02-23 21:31:05.433000+00:00
268234,ETH_JPY,RUNNING,2022-02-23T21:31:07.073,37497342.0,302732.0,302962.0,0.13,1.09,4017.2106915,2494.037967,0.0,0.0,302732.0,13901.4057626,13901.4057626,2022-02-23 21:31:07.073000+00:00
268235,ETH_JPY,RUNNING,2022-02-23T21:31:07.48,37497344.0,302732.0,302962.0,0.13,1.09,4023.8956915,2500.722967,0.0,0.0,302732.0,13901.4057626,13901.4057626,2022-02-23 21:31:07.480000+00:00
